project_id,project_description,Python,SQL,React,Machine_Learning,Flask,manual_tags
1,"A web application built with Python and Flask for task management.",1,0,0,0,1,"web,backend"
2,"Analysis of financial data using SQL and Python scripts.",1,1,0,0,0,"data,analysis"
3,"Real-time dashboard using React and a Python backend.",1,0,1,0,0,"web,dashboard"
4,"Predicting house prices with Machine Learning in Python.",1,0,0,1,0,"ml,regression"
5,"Portfolio website built with React and custom CSS.",0,0,1,0,0,"web,frontend"
6,"Database optimization and management with SQL.",0,1,0,0,0,"db,sql"
7,"Building an NLP model using Python and custom ML scripts.",1,0,0,1,0,"ml,nlp"
8,"Frontend interface for a medical system using React.",0,0,1,0,0,"web,medical"
9,"E-commerce API built with Flask and PostgreSQL.",0,1,0,0,1,"api,backend"
10,"Image recognition system using deep learning and Python.",1,0,0,1,0,"ml,vision"
