description,Python,SQL,React,Machine_Learning,Flask
"A web application built with Python and Flask for task management.",1,0,0,0,1
"Analysis of financial data using SQL and Python scripts.",1,1,0,0,0
"Real-time dashboard using React and a Python backend.",1,0,1,0,0
"Predicting house prices with Machine Learning in Python.",1,0,0,1,0
"Portfolio website built with React and custom CSS.",0,0,1,0,0
"Database optimization and management with SQL.",0,1,0,0,0
"Building an NLP model using Python and custom ML scripts.",1,0,0,1,0
"Frontend interface for a medical system using React.",0,0,1,0,0
"E-commerce API built with Flask and PostgreSQL.",0,1,0,0,1
"Image recognition system using deep learning and Python.",1,0,0,1,0
